"arquivo","schema_original","separador_original","n_linhas","status","avisos"
"2025_12_27_tribuna_liberal.csv","v10",",","4","OK",""
"2025_12_28_tribuna_liberal.csv","v10",",","4","OK",""
"2025_12_29_tribuna_liberal.csv","v10",",","5","OK",""
"2025_12_30_tribuna_liberal.csv","v10",",","2","OK",""
"2025_12_31_tribuna_liberal.csv","v10",",","7","OK",""
"2026_01_03_tribuna_liberal.csv","v10_var_full",",","8","OK",""
"2026_01_04_tribuna_liberal.csv","v10_var_full",",","6","OK",""
"2026_01_07_tribuna_liberal.csv","v10_var_full",",","6","OK",""
"2026_01_08_tribuna_liberal.csv","v10_var_full",",","4","OK",""
"2026_01_09_tribuna_liberal.csv","v10_var_full",",","5","OK",""
"2026_01_10_tribuna_liberal.csv","v10_var_full",",","3","OK",""
"2026_01_11_tribuna_liberal.csv","v10_var_full",",","2","OK",""
"2026_01_14_tribuna_liberal.csv","v10_var_lite",",","8","OK",""
"2026_01_15_tribuna_liberal.csv","v10_var_lite",",","5","OK",""
"2026_01_16_tribuna_liberal.csv","v10_var_lite",",","4","OK",""
"2026_01_17_tribuna_liberal.csv","v10",",","7","OK",""
"2026_01_18_tribuna_liberal.csv","v10_var_lite",",","2","OK",""
"2026_01_20_tribuna_liberal.csv","v10_var_lite",",","7","OK",""
"2026_01_22_tribuna_liberal.csv","antigo",",","7","OK | REVISAO_MANUAL(papel_no_ciclo, entra_ipst)",""
"2026_01_23_tribuna_liberal.csv","antigo",",","4","OK | REVISAO_MANUAL(papel_no_ciclo, entra_ipst)",""
"2026_01_24_tribuna_liberal.csv","v10",",","4","OK",""
"2026_01_25_tribuna_liberal.csv","antigo",",","4","OK | REVISAO_MANUAL(papel_no_ciclo, entra_ipst)",""
"2026_01_30_tribuna_liberal.csv","v10",",","3","OK",""
"2026_01_31_tribuna_liberal.csv","v10",",","6","AVISOS","L1: DATA VAZIA: preenchida com 2026-01-31 (nome do arquivo) || L2: DATA VAZIA: preenchida com 2026-01-31 (nome do arquivo) || L3: DATA VAZIA: preenchida com 2026-01-31 (nome do arquivo) || L4: DATA VAZIA: preenchida com 2026-01-31 (nome do arquivo) || L5: DATA VAZIA: preenchida com 2026-01-31 (nome do arquivo) || L6: DATA VAZIA: preenchida com 2026-01-31 (nome do arquivo)"
"2026_03_01_tribuna_liberal.csv","v10",",","3","OK",""
"2026_03_03_tribuna_liberal.csv","v10",",","5","OK",""
"2026_04_24_tribuna_liberal.csv","v10_var_lite",",","5","OK",""
"2026_04_25_tribuna_liberal.csv","v10_var_lite",",","3","OK",""
"2026_04_26_tribuna_liberal.csv","v10_var_lite",",","5","OK",""
